DATE,PALLFNFINDEXM
1992-01-01,50.2540194170797
1992-02-01,50.2473642248556
1992-03-01,50.27346432635
1992-04-01,50.689243459352
1992-05-01,52.1349385865037
1992-06-01,52.3466741249556
1992-07-01,51.9875454891894
1992-08-01,51.9976613871304
1992-09-01,52.4264517022585
1992-10-01,51.918136943796
1992-11-01,49.8610547604009
1992-12-01,49.891887523754
1993-01-01,49.2280368974179
1993-02-01,49.7458784573016
1993-03-01,51.12966321436
1993-04-01,51.3949981751813
1993-05-01,51.4984115678662
1993-06-01,50.0837770048307
1993-07-01,50.0147502756619
1993-08-01,49.8459478612809
1993-09-01,48.9257400941737
1993-10-01,48.9660756946525
1993-11-01,48.257469943284
1993-12-01,48.5184014332582
1994-01-01,49.3091634809211
1994-02-01,50.128517978946
1994-03-01,49.6733621262549
1994-04-01,50.3578254859742
1994-05-01,51.7616044999892
1994-06-01,52.6569549843998
1994-07-01,53.937074905627
1994-08-01,52.8727375940641
1994-09-01,52.9342270177367
1994-10-01,53.4799475031785
1994-11-01,53.5817978815254
1994-12-01,54.6100525677993
1995-01-01,55.2497190297519
1995-02-01,55.6275519484274
1995-03-01,56.2273965225566
1995-04-01,56.7534363655856
1995-05-01,55.98441948797
1995-06-01,55.3221922570375
1995-07-01,54.8117474029321
1995-08-01,55.0355564468283
1995-09-01,55.0887337064124
1995-10-01,55.0077932717508
1995-11-01,55.8775637437743
1995-12-01,58.5859154578492
1996-01-01,58.0928083540531
1996-02-01,59.9119361726209
1996-03-01,59.8699962896459
1996-04-01,60.7965150153497
1996-05-01,60.0738221728914
1996-06-01,58.4192812343364
1996-07-01,59.1071776894076
1996-08-01,58.8943095932021
1996-09-01,58.3830932181526
1996-10-01,59.1563322437661
1996-11-01,59.8288010248143
1996-12-01,62.5431196594712
1997-01-01,61.6188908101563
1997-02-01,58.6805078273606
1997-03-01,57.8589436502386
1997-04-01,56.0015353585067
1997-05-01,57.3891304318055
1997-06-01,55.0209626300273
1997-07-01,54.4535735170439
1997-08-01,54.7224985342155
1997-09-01,54.8120838012609
1997-10-01,55.4831104392747
1997-11-01,54.3488418740005
1997-12-01,53.0811794463481
1998-01-01,50.2062948454751
1998-02-01,49.562561199078
1998-03-01,48.938086674496
1998-04-01,49.8180810277206
1998-05-01,49.7344272129606
1998-06-01,47.5904653472281
1998-07-01,46.5767986413692
1998-08-01,45.1819115457723
1998-09-01,45.925843537451
1998-10-01,45.7871033796487
1998-11-01,45.233758820819
1998-12-01,42.8871694149279
1999-01-01,43.8697490858609
1999-02-01,42.0856889621175
1999-03-01,43.0068319970827
1999-04-01,45.7299509511076
1999-05-01,46.5412355231656
1999-06-01,46.0108924096506
1999-07-01,47.3791935148439
1999-08-01,49.7665666191241
1999-09-01,51.7499079705664
1999-10-01,52.5717819762369
1999-11-01,53.3847294611934
1999-12-01,54.0105065643139
2000-01-01,55.6614269775234
2000-02-01,58.0597313610135
2000-03-01,58.5100220838887
2000-04-01,56.6064892630997
2000-05-01,59.3285797681548
2000-06-01,61.2370993672575
2000-07-01,59.9014028417971
2000-08-01,60.8396471652077
2000-09-01,63.618414998439
2000-10-01,62.9506052488007
2000-11-01,63.8809644981112
2000-12-01,64.2104730305193
2001-01-01,63.959883758795
2001-02-01,61.0281219780512
2001-03-01,59.1528863131788
2001-04-01,59.3690359550408
2001-05-01,60.1079922798275
2001-06-01,58.4173575038835
2001-07-01,55.8117574180692
2001-08-01,56.042401578573
2001-09-01,54.0199035716895
2001-10-01,50.4280936196271
2001-11-01,48.1937203114433
2001-12-01,47.8874089892638
2002-01-01,48.6194181220062
2002-02-01,49.523403929451
2002-03-01,53.9293775683496
2002-04-01,55.6660662292175
2002-05-01,55.8153546527055
2002-06-01,54.7711219585489
2002-07-01,56.441187041063
2002-08-01,56.6729767835407
2002-09-01,58.9023926793731
2002-10-01,60.0700995488716
2002-11-01,58.0177414069448
2002-12-01,61.1484050144565
2003-01-01,65.2546257480833
2003-02-01,70.3182536244609
2003-03-01,65.7899859046245
2003-04-01,61.7530396730371
2003-05-01,62.8852679696509
2003-06-01,64.420875386337
2003-07-01,63.3747199874808
2003-08-01,64.5068480629063
2003-09-01,64.2154930818471
2003-10-01,67.472590326718
2003-11-01,67.1934375145262
2003-12-01,70.2844928990489
2004-01-01,73.1673697078027
2004-02-01,72.8691027636606
2004-03-01,75.5686608897185
2004-04-01,76.5877250253495
2004-05-01,79.6444561446314
2004-06-01,78.3894364859877
2004-07-01,79.7415463107101
2004-08-01,80.9185520031089
2004-09-01,80.5126290104057
2004-10-01,86.2866847021646
2004-11-01,83.5477542832792
2004-12-01,82.4499961980899
2005-01-01,85.5585201493054
2005-02-01,87.3250432501114
2005-03-01,94.5711156570275
2005-04-01,94.0719769132871
2005-05-01,91.7780224002067
2005-06-01,95.5040534055453
2005-07-01,97.7792010911907
2005-08-01,103.765542562308
2005-09-01,107.787260185365
2005-10-01,107.146325967809
2005-11-01,101.238894948741
2005-12-01,106.146461528119
2006-01-01,107.791050316157
2006-02-01,106.147160331147
2006-03-01,106.758366604372
2006-04-01,115.510337577909
2006-05-01,119.784941906737
2006-06-01,117.220499447175
2006-07-01,121.709301900666
2006-08-01,122.377740497175
2006-09-01,112.641333827663
2006-10-01,110.778958090071
2006-11-01,113.27963462254
2006-12-01,115.578210958546
2007-01-01,110.996894947232
2007-02-01,116.692610996663
2007-03-01,119.432692487058
2007-04-01,126.203544847894
2007-05-01,126.780396408054
2007-06-01,127.147983038137
2007-07-01,129.67703791105
2007-08-01,125.444434933345
2007-09-01,131.576507220822
2007-10-01,139.289901598939
2007-11-01,147.569190720454
2007-12-01,147.630538649438
2008-01-01,154.364423799842
2008-02-01,161.240431928746
2008-03-01,171.147391742428
2008-04-01,177.820945531387
2008-05-01,189.832585109251
2008-06-01,199.469483107516
2008-07-01,202.827923114934
2008-08-01,181.3418540048
2008-09-01,166.065500014931
2008-10-01,136.077065359023
2008-11-01,115.081280650515
2008-12-01,102.060501107115
2009-01-01,105.717512671057
2009-02-01,101.652691332401
2009-03-01,101.419504031762
2009-04-01,103.838422699443
2009-05-01,112.072455729266
2009-06-01,121.552918227666
2009-07-01,117.012107534028
2009-08-01,123.646427027874
2009-09-01,119.997548238033
2009-10-01,127.479254723571
2009-11-01,132.383445761086
2009-12-01,135.295993205539
2010-01-01,141.008692419268
2010-02-01,137.62012934376
2010-03-01,142.090659329021
2010-04-01,150.118444568038
2010-05-01,141.573257007197
2010-06-01,138.304029249365
2010-07-01,138.315525932635
2010-08-01,142.504935551143
2010-09-01,144.69832364817
2010-10-01,152.622061394699
2010-11-01,158.120212125951
2010-12-01,166.647636487785
2011-01-01,172.842879472067
2011-02-01,179.44115637336
2011-03-01,185.322309194731
2011-04-01,194.585159920978
2011-05-01,187.907838472899
2011-06-01,185.891655445796
2011-07-01,188.487501357522
2011-08-01,184.060178679447
2011-09-01,182.339588676879
2011-10-01,175.453445134987
2011-11-01,178.092898671022
2011-12-01,174.902452079067
2012-01-01,177.562303361877
2012-02-01,183.045334804203
2012-03-01,187.219212896223
2012-04-01,184.234061994283
2012-05-01,173.649455864149
2012-06-01,161.936796789618
2012-07-01,167.393109370199
2012-08-01,171.838476912766
2012-09-01,173.589919316249
2012-10-01,172.0575912406
2012-11-01,169.706699609495
2012-12-01,170.478628393663
2013-01-01,174.532013438757
2013-02-01,176.38306945331
2013-03-01,171.62110344155
2013-04-01,168.152655316406
2013-05-01,167.243213958442
2013-06-01,164.692404052611
2013-07-01,166.555141455587
2013-08-01,169.308812798559
2013-09-01,168.539104707903
2013-10-01,165.969260432788
2013-11-01,164.234994941995
2013-12-01,167.78817562558
2014-01-01,166.776468232778
2014-02-01,170.865234015551
2014-03-01,169.804333279161
2014-04-01,170.944794028375
2014-05-01,168.818249330977
2014-06-01,169.024315336601
2014-07-01,165.763635822582
2014-08-01,160.19810918107
2014-09-01,155.21479555518
2014-10-01,146.432165624753
2014-11-01,139.583605811122
2014-12-01,126.351303749264
2015-01-01,114.505777405108
2015-02-01,117.618966895959
2015-03-01,113.72478395094
2015-04-01,114.638289488816
2015-05-01,118.779407874289
2015-06-01,116.391989887603
2015-07-01,109.746330412989
2015-08-01,102.423037740864
2015-09-01,102.382124871183
2015-10-01,102.36128178767
2015-11-01,96.3850036410183
2015-12-01,90.6499853582387
2016-01-01,85.3213534356982
2016-02-01,87.364859722124
2016-03-01,93.3957548596765
2016-04-01,96.6994772571024
2016-05-01,100.700810201703
2016-06-01,103.214278179866
2016-07-01,102.79431708206
2016-08-01,103.301210902645
2016-09-01,103.322017281561
2016-10-01,106.644286080755
2016-11-01,105.591267427235
2016-12-01,111.650367569574
2017-01-01,115.785562610625
2017-02-01,116.408291367873
2017-03-01,110.796472583505
2017-04-01,110.85642978495
2017-05-01,108.68979936542
2017-06-01,105.565780910105
2017-07-01,108.315273358088
2017-08-01,111.328507088514
2017-09-01,114.57073421341
2017-10-01,116.100555750721
2017-11-01,120.714605130917
2017-12-01,122.501202473164
2018-01-01,129.635943093805
2018-02-01,126.907614099225
2018-03-01,126.299913634369
2018-04-01,128.433374532395
2018-05-01,133.155056588337
2018-06-01,131.947185368455
2018-07-01,130.224595766527
2018-08-01,127.973369170774
2018-09-01,132.411645037648
2018-10-01,133.511794247434
2018-11-01,121.862577983572
2018-12-01,115.907879107195
2019-01-01,117.040999125594
2019-02-01,119.025125605874
2019-03-01,119.952902168803
2019-04-01,123.40384240447
2019-05-01,120.495219266673
2019-06-01,115.449149987992
2019-07-01,118.024027688382
2019-08-01,112.712301811199
2019-09-01,114.817379509821
2019-10-01,112.903908597371
2019-11-01,117.018709026694
2019-12-01,119.914399347356
2020-01-01,119.606002781291
2020-02-01,110.950940115334
2020-03-01,93.776336757346
2020-04-01,83.9402575042006
2020-05-01,91.268370609121
2020-06-01,99.8182303083406
2020-07-01,102.860990501227
2020-08-01,108.826090530663
2020-09-01,108.272798026963
2020-10-01,110.630583823544
2020-11-01,114.995183393037
2020-12-01,125.436570303789
2021-01-01,137.409862215577
2021-02-01,140.522447773023
2021-03-01,141.351088630271
2021-04-01,144.890151229046
2021-05-01,155.575597126059
2021-06-01,161.879525673362
2021-07-01,166.11952335784
2021-08-01,163.769339095342
2021-09-01,172.772345155947
2021-10-01,192.350344554355
2021-11-01,183.849297703898
